Model ID,Platform,Model modality,"Linked datasets, n","Linked families, n","High-confidence links, n","Medium-confidence links, n",Downloads / stars,Model URL,Repository URL
IAMJB/chexpert-mimic-cxr-findings-baseline,huggingface_models,chest x-ray,5,4,5,0,7074.0,https://huggingface.co/IAMJB/chexpert-mimic-cxr-findings-baseline,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/chexpert-mimic-cxr-impression-baseline,huggingface_models,chest x-ray,5,4,5,0,6857.0,https://huggingface.co/IAMJB/chexpert-mimic-cxr-impression-baseline,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/mimic-cxr-findings-baseline,huggingface_models,chest x-ray,5,4,5,0,3.0,https://huggingface.co/IAMJB/mimic-cxr-findings-baseline,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/mimic-cxr-impression-baseline,huggingface_models,chest x-ray,5,4,5,0,3.0,https://huggingface.co/IAMJB/mimic-cxr-impression-baseline,https://github.com/Stanford-AIMI/chexpert-plus
ChicagoHAI/cxr-eval-gpt-4v,,chest x-ray,4,3,4,0,,,
YuyangJ0/RRG-Evaluation-GPT4V,,chest x-ray,4,3,4,0,,,
MoMarky/radiology-report-extraction,,chest x-ray,3,3,3,0,,,
plainsight16/MimicCXR-Concept-Extraction,,chest x-ray,3,2,3,0,,,
ChantalPellegrini/RaDialog-interactive-radiology-report-generation,huggingface_models,chest x-ray,3,3,2,1,23.0,https://huggingface.co/ChantalPellegrini/RaDialog-interactive-radiology-report-generation,https://github.com/ChantalMP/RaDialog_v2
Zhenwu-C-Wang/chest-xray-adaptation,,chest x-ray,3,3,2,1,,,
ECOFRI/CXR-LLAVA-v2,huggingface_models,chest x-ray,2,2,2,0,614.0,https://huggingface.co/ECOFRI/CXR-LLAVA-v2,https://github.com/ECOFRI/CXR_LLaVA
PeterOzo/Computer-Vision-Chest-Xray-Classification-Mimic-CXR-CheXpert,,chest x-ray,2,2,2,0,,,
TommyIX/CXR-LLaVA-7b,huggingface_models,chest x-ray,2,2,2,0,10.0,https://huggingface.co/TommyIX/CXR-LLaVA-7b,https://github.com/TommyIX/CXR-LLaVA
denizlab/MIMICCXR-MultiModal-SelfSupervision,,chest x-ray,2,2,2,0,,,
emredemirbas/ai-clinical-verification-mimic-cxr,,chest x-ray,2,2,2,0,,,
jcsagar/CXR-LLAVA-v2,huggingface_models,chest x-ray,2,2,2,0,0.0,https://huggingface.co/jcsagar/CXR-LLAVA-v2,https://github.com/ECOFRI/CXR_LLaVA
karthik18115/Multimodal-x-ray-Analysis,,chest x-ray,2,2,2,0,,,
nvidia/NV-Reason-CXR-3B,huggingface_models,chest x-ray,2,2,2,0,1093.0,https://huggingface.co/nvidia/NV-Reason-CXR-3B,https://github.com/NVIDIA-Medtech/NV-Reason-CXR
vilalali/CXR2ScribeAI,,chest x-ray,2,2,2,0,,,
IsaacTieu/chestmodal,,chest x-ray,2,2,1,1,,,
PepeuFBV/breast_cancer_analysis,,mammography,2,1,0,2,,,
aehrc/cxrmate-rrg24,huggingface_models,chest x-ray,2,1,0,2,232.0,https://huggingface.co/aehrc/cxrmate-rrg24,
microsoft/BiomedVLP-CXR-BERT-general,huggingface_models,chest x-ray,2,1,0,2,16331.0,https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-general,
microsoft/BiomedVLP-CXR-BERT-specialized,huggingface_models,chest x-ray,2,1,0,2,67108.0,https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized,
xiongyiheng/Prior-RadGraphFormer,,xray,2,1,0,2,,,
zaccharieramzi/fastmri-reproducible-benchmark,,mri,2,1,0,2,,,
AlperSayan/chest-Xray-Disease-Detection-CheXpert-Deep-Learning,,xray,1,1,1,0,,,
CodHeK/Chest-XRay-Diagnosis,,chest x-ray,1,1,1,0,,,
HeetShah3114/chest-xray-xai,,xray,1,1,1,0,,,
MIT-LCP/mimic-cxr,,chest x-ray,1,1,1,0,,,
PatrickDdx/chest-xray-classification,,chest x-ray,1,1,1,0,,,
Sallali02/Multimodal-AI-for-Radiology-Integrating-Image-and-Text-for-Enhanced-Captioning-,,chest x-ray,1,1,1,0,,,
Shaumik-Ashraf/BART-MIMIC-CXR,,chest x-ray,1,1,1,0,,,
TarferSoul/medical-safety-mllm,,chest x-ray,1,1,1,0,,,
aehrc/cxrmate-ed,huggingface_models,chest x-ray,1,1,1,0,94.0,https://huggingface.co/aehrc/cxrmate-ed,https://github.com/aehrc/cxrmate-ed
ameliajimenez/shortcuts-chest-xray,,xray,1,1,1,0,,,
andrewmichelson/mimic-cxr,,chest x-ray,1,1,1,0,,,
codewithdark/vit-chest-xray,huggingface_models,xray,1,1,1,0,1212.0,https://huggingface.co/codewithdark/vit-chest-xray,https://github.com/TheSmartTechnologyLab/vit-chest-xray
dcbm-85/chest-xray-lightning,,xray,1,1,1,0,,,
habbes/chest-xrays,,xray,1,1,1,0,,,
hedgehogeli/chexpert-gradcam,,xray,1,1,1,0,,,
himadriut/radiology-rag-copilot,,chest x-ray,1,1,1,0,,,
hoangtuanvu/rad_chexpert,,xray,1,1,1,0,,,
kalyanappari/Xray-Enhancement-ML,,chest x-ray,1,1,1,0,,,
kredde/chexpert-medical-imaging,,chest x-ray,1,1,1,0,,,
nathansutton/generate-cxr,huggingface_models,chest x-ray,1,1,1,0,100.0,https://huggingface.co/nathansutton/generate-cxr,https://github.com/nathansutton/prerad
ppddddpp/unified-multimodal-chestxray,huggingface_models,xray,1,1,1,0,0.0,https://huggingface.co/ppddddpp/unified-multimodal-chestxray,https://github.com/ppddddpp/unified-multimodal-chestxray
shaan0056/Chest-Xray-Diagnosis,,chest x-ray,1,1,1,0,,,
shemzegem200/MIMIC-CXR-Medical-Report-Generation-Using-Deep-Learning,,chest x-ray,1,1,1,0,,,
slyncrafty/DL4H-PRJ-UniXGen,,chest x-ray,1,1,1,0,,,
wboag/cxr-baselines,,chest x-ray,1,1,1,0,,,
1aurent/vit_base_patch16_224.medmae_CXR_mae_ft_CheXpert,huggingface_models,chest x-ray,1,1,0,1,23.0,https://huggingface.co/1aurent/vit_base_patch16_224.medmae_CXR_mae_ft_CheXpert,
1aurent/vit_small_patch16_224.medmae_CXR_mae_ft_CheXpert,huggingface_models,chest x-ray,1,1,0,1,4.0,https://huggingface.co/1aurent/vit_small_patch16_224.medmae_CXR_mae_ft_CheXpert,
Akaqox/3D-Brain-Tumor-Sementation-with-UNet,,mri,1,1,0,1,,,
BrainLesion/GlioMODA,,mri,1,1,0,1,,,
DanishH/stable-diffusion-chest-xray-2,huggingface_models,xray,1,1,0,0,1.0,https://huggingface.co/DanishH/stable-diffusion-chest-xray-2,
DebinaLaishram/xray-ct-reconstruction,,xray,1,1,0,1,,,
Devansh070805/Mammography-Reports-Based-Breast-Cancer-Detection,,mammography,1,1,0,1,,,
EstevesX10/Lung-Cancer-Classification-with-CT-Scans,,ct,1,1,0,1,,,
IrohXu/stable-diffusion-mimic-cxr-v0.1,huggingface_models,chest x-ray,1,1,0,1,10.0,https://huggingface.co/IrohXu/stable-diffusion-mimic-cxr-v0.1,
Jeevitha-aj-Github/mri-extreme-undersampling-reconstruction,,mri,1,1,0,1,,,
Kowasaki/fastmri-2019-challenge,,mri,1,1,0,1,,,
MahsaAm2/Brain-Tumor-Segmentation,,mri,1,1,0,1,,,
MathijsVanhaverbeke/fastMRI-hybrid-modelling,,mri,1,1,0,1,,,
ParinazD/CTScanLungCancerV2,,ct,1,1,0,1,,,
Pedrooamaroo/LungRadiomics,,ct,1,1,0,1,,,
RuggeroAnello/Cascade-Learning-Xray,,chest x-ray,1,1,0,1,,,
Sand-Red/Llama_CXR_OpenI,huggingface_models,chest x-ray,1,1,0,1,0.0,https://huggingface.co/Sand-Red/Llama_CXR_OpenI,
Shah-harsh12/Lung-Cancer-Detection---Malignancy-Prediction-using-Multi-Task-3D-Deep-Learning--LIDC-IDRI-,,ct,1,1,0,1,,,
alirezash97/BraTS,,mri,1,1,0,1,,,
amulet1989/GBManalizer,,mri,1,1,0,1,,,
anassaifi8912/chestxray-blip-report-generator,huggingface_models,xray,1,1,0,0,25.0,https://huggingface.co/anassaifi8912/chestxray-blip-report-generator,
anfisou/Lung_Cancer_Classification_LIDC-IDRI,,ct,1,1,0,1,,,
anibali/lidc-idri-preprocessing,,ct,1,1,0,1,,,
anirudhnbharadwaj/BraTS-2021,,mri,1,1,0,1,,,
archisnoob/mimic-cxr-pipeline,,chest x-ray,1,1,0,1,,,
arnab12n/dicom_metadata_extraction,,ct,1,1,0,1,,,
asmarufoglu/neuro-voxel,,mri,1,1,0,1,,,
ayush055/lung-cancer-research,,ct,1,1,0,1,,,
cai2r/fastMRI_prostate,,mri,1,1,0,1,,,
carolina-proenca/lung-cancer-classification,,ct,1,1,0,1,,,
denizberkin/mri-reconstruction-scripts,,mri,1,1,0,1,,,
dishankjani/Classification-of-covid-19-Pneuomonia-and-Lung-Cancer-using-X-ray-and-CT-scan-images,,xray,1,1,0,1,,,
dnouri/brats_mri_segmentation,huggingface_models,mri,1,1,0,1,0.0,https://huggingface.co/dnouri/brats_mri_segmentation,
hellopipu/PromptMR,,mri,1,1,0,1,,,
hellopipu/PromptMR-plus,,mri,1,1,0,1,,,
hranYin/MRI_reconstruction,,mri,1,1,0,1,,,
ianpan/chest-x-ray-basic,huggingface_models,chest x-ray,1,1,0,1,300.0,https://huggingface.co/ianpan/chest-x-ray-basic,
ibrar-syed/mammography-classification_by_Deep_Learning,,mammography,1,1,0,1,,,
ileri-oluwa-kiiye/SwinUNETR-BraTS21,,mri,1,1,0,1,,,
imatge-upc/mri-braintumor-segmentation,,mri,1,1,0,1,,,
jodogne/orthanc-mammography,,mammography,1,1,0,1,,,
katielink/brats_mri_segmentation_v0.1.0,huggingface_models,mri,1,1,0,1,0.0,https://huggingface.co/katielink/brats_mri_segmentation_v0.1.0,
ketatam/multi-domain-unet-fastMRI,,mri,1,1,0,1,,,
khammernik/sigmanet,,mri,1,1,0,1,,,
koesan/Breast_Cancer_Classification,,mammography,1,1,0,1,,,
lakshmi-sathi/mri_reconstruction,,mri,1,1,0,1,,,
lamitay/fastMRI,,mri,1,1,0,1,,,
lishen/end2end-all-conv,,mammography,1,1,0,1,,,
mind-inria/mri-dl-recon,,mri,1,1,0,1,,,
neuronflow/BraTS-Toolkit,,mri,1,1,0,1,,,
nggiabao19/BreastCancerClassificationWithFuzzyLayer,,mammography,1,1,0,1,,,
orange-fritters/fast-mri,,mri,1,1,0,1,,,
razasju/blip2-opt-2.7b-mimic-cxr-captions,huggingface_models,chest x-ray,1,1,0,1,0.0,https://huggingface.co/razasju/blip2-opt-2.7b-mimic-cxr-captions,
razasju/mimic-cxr-report,huggingface_models,chest x-ray,1,1,0,1,0.0,https://huggingface.co/razasju/mimic-cxr-report,
rodrigosimoes5/Lung-Cancer-Classification-using-Computerized-Tomography-CT-Data,,ct,1,1,0,1,,,
s-bose/brats_unet,,mri,1,1,0,1,,,
sanchitvj/rsppUnet-BraTS-2021,,mri,1,1,0,1,,,
shaimove/BraTS2020-MRI-Brain-Segmentaion,,mri,1,1,0,1,,,
sindri101/radiology-report-en-zh-ft-base,huggingface_models,chest x-ray,1,1,0,1,10.0,https://huggingface.co/sindri101/radiology-report-en-zh-ft-base,
soraiia/-Lung-Cancer-Classification-using-Computerized-Tomography-CT-Data,,ct,1,1,0,1,,,
sposso/Deep_learning_to_improve_breast_Cancer_pytorch,,mammography,1,1,0,0,,,
theomthakur/ece-gy-9183-group19,,chest x-ray,1,1,0,1,,,
tomer196/fastMRI-Cartesian,,mri,1,1,0,1,,,
uturkbey/TumSeg,,ct,1,1,0,1,,,
vaibhav253/Enhancement-of-Brain-MRI-Tumor-Segmentation-using-Multimodality-Learning,,mri,1,1,0,1,,,
vasan-rj/Lung_cancer_Classification,,ct,1,1,0,1,,,
